name	chars	lines
DiagramObject.IdentifiedObject-DLvalueType	515	14
ACLineSegment-baseVoltage	741	13
RegulatingControl-terminalConnectivityNode	250	8
OperationalLimitType.acceptableDuration-usage	256	8
OperationalLimitType.isInfiniteDuration-usage	297	9
EquivalentBranch.r21-usage	178	7
EquivalentBranch.x21-usage	178	7
PowerTransformerEnd.r-valueRange	297	8
EquivalentInjection.regulationCapability-associatedCurve	207	7
PhaseTapChangerAsymmetrical.windingConnectionAngle-valueRange	284	6
PhaseTapChangerNonLinear.xMin-valueRangePair	309	9
ShuntCompensator.nomU-nominalVoltageDifference	287	8
PowerTransformerEnd.ratedS-valueRange2winding	1040	26
PowerTransformerEnd.ratedU-valueRange	1391	29
TransformerEnd.endNumber-unique	952	24
PhaseTapChangerLinear.xMin-valueRangePair	309	9
Equipment.aggregate-notUsed	122	6
LoadResponseCharacteristic.exponentModel-exponentCoefficient	1454	21
GeneratingUnit.nominalP-valueRangePair	603	12
ConductingEquipment.BaseVoltage-usage	702	12
ShuntCompensator.maximumSections-numberOfInstances	504	15
Terminal.phases-consistencyEquipment	848	14
Terminal.phases-consistencyConnectivityNode	1913	38
LimitKind.patl-allowedType	246	8
LimitKind.patl-numberOfLimitType	556	13
LimitKind.tc-duration	445	11
TapChanger.ltcFlag-tapChangerControl	222	8
DCConverterUnit-tapChangerControl	606	9
DCConverterUnit-cscPowerTransformer	241	9
PowerTransformerEnd-terminalConsistency	252	8
ControlAreaGeneratingUnit.GeneratingUnit-instance	230	8
ACDCTerminal.sequenceNumber-numbering	546	10
PowerTransformerEnd-secondWindingValues	646	14
BoundaryPoint.isExcludedFromAreaInterchange-requiredTieFlow	1328	18
MutualCoupling-terminalsAssignment	732	13
SeriesCompensator.varistorRatedCurrent-usage	218	7
SeriesCompensator.varistorVoltageThreshold-usage	218	7
CsConverter.gamma-valueRangeTypical	207	7
CsConverter.alpha-valueRangeTypical	208	7
SvTapStep.position-valueRange	317	9
CsConverter.targetGamma-applicability	1210	21
CsConverter.targetAlpha-applicability	1222	22
RegulatingControl-requiredAttributes	477	10
TapChanger.step-valueType	529	10
ShuntCompensator.sections-valueLinear	455	11
ShuntCompensator.sections-valueNonLinear	947	23
ControlArea-netInterchangeCalculation	737	18
RegulatingControl.targetDeadband-applicability	269	7
VsConverter.pPccControl-targetValuephasePcc	243	7
VsConverter.pPccControl-targetValuePpcc	229	7
VsConverter.pPccControl-targetValuepPccAndUdcDroop	402	9
VsConverter.pPccControl-targetValuepPccAndUdcDroopPilot	407	9
VsConverter.pPccControl-targetValuepPccAndUdcDroopWithCompensation	527	10
VsConverter.pPccControl-targetValueUdc	225	7
VsConverter.qPccControl-targetValuepowerFactorPcc	267	7
VsConverter.qPccControl-targetValuepulseWidthModulation	360	8
VsConverter.qPccControl-targetValuereactivePcc	234	7
VsConverter.qPccControl-targetValuevoltagePcc	233	7
EnergySource.activePower-consumer	114	6
CsConverter.pPccControl-targetValuePpcc	236	7
CsConverter.pPccControl-targetValueIdc	229	7
CsConverter.pPccControl-targetValueUdc	231	7
CsConverter.maxAlpha-valueRangeTypical	195	7
CsConverter.minAlpha-valueRangeTypical	277	8
CsConverter.maxGamma-valueRangeTypical	194	7
CsConverter.minGamma-valueRangeTypical	276	8
Terminal.phases-consistencyTopologicalNode	1604	31
ExcIEEEAC8B.kpr-valueRange	156	7
ExcBBC.k-valueRange	104	6
ExcIEEEDC4B.td-valueRange	153	7
ExcIEEEAC7B.kpa-valueRange	156	7
ExcIEEEAC7B.kpr-valueRange	156	7
PssWECC-inputSignals	163	7
ExcSEXS.kc-valueRange	149	7
ExcAC8B.kpr-valueRange	152	7
GovHydro4.bgv0-valueRange	237	7
GovHydro4.bgv1-valueRange	237	7
GovHydro4.bgv2-valueRange	237	7
GovHydro4.bgv3-valueRange	237	7
GovHydro4.bgv4-valueRange	237	7
GovHydro4.bgv5-valueRange	237	7
GovHydro4.bmax-valueRange	237	7
GovHydro4.gv0-valueRange	188	7
GovHydro4.gv1-valueRange	336	8
GovHydro4.gv2-valueRange	336	8
GovHydro4.gv3-valueRange	336	8
